,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
6028,06065040200,06,065,40200,11828,3702,11828,6459,829,1448,1880,1347,404,372,3702,308,343,122,206,156,187,195,141,168,133,212,168,97,164,122,73,59,106,120,134,249,159,39,17,27970,3662,2197,485,110200
6029,06065040300,06,065,40300,12416,3731,12416,7160,705,1358,2125,1600,415,606,3731,204,348,169,132,122,86,155,61,102,101,200,76,204,103,189,147,137,58,269,177,297,282,47,26,36342,3835,2994,676,138400
6030,06065040400,06,065,40400,12967,3834,12967,7532,401,1466,2444,1922,608,627,3834,105,187,95,100,83,60,114,88,89,104,186,110,154,53,302,80,109,179,297,231,417,475,128,45,45161,3714,3027,817,150200
6031,06065040500,06,065,40500,12110,4487,12110,7688,591,1518,2642,1843,650,347,4487,100,549,215,245,181,215,214,159,111,91,237,81,179,199,166,117,213,114,249,191,349,158,76,47,31725,4364,2432,425,136100
6032,06065040601,06,065,40601,11688,3291,11688,6736,671,1194,1949,1970,530,368,3291,49,74,94,154,116,69,98,61,105,75,77,74,163,107,168,90,198,63,258,256,391,348,140,25,45903,3255,2671,712,172000
6033,06065040602,06,065,40602,3609,1348,3609,2440,350,496,864,499,96,104,1348,62,105,63,58,75,20,109,36,107,38,69,28,31,62,49,42,32,33,100,34,64,60,12,0,30036,1255,901,509,184600
6034,06065040700,06,065,40700,8060,2486,8060,5050,216,800,1626,1377,384,395,2486,51,79,77,48,62,34,53,75,28,85,122,56,28,118,105,92,88,26,228,133,324,402,91,33,50306,2468,2009,694,197000
6035,06065040802,06,065,40802,17646,5600,17646,10196,495,1089,2451,3106,1061,1652,5600,139,69,37,70,82,111,144,121,171,181,146,144,243,174,270,129,244,171,518,352,976,755,198,67,51341,5584,3695,723,207900
6036,06065040803,06,065,40803,5977,1921,5977,3730,257,582,1264,1029,246,263,1921,33,90,63,47,54,37,42,31,84,68,59,67,78,49,112,34,55,48,136,118,321,179,66,28,45568,1929,1543,663,174600
6037,06065040804,06,065,40804,3560,1011,3560,2107,92,276,616,578,220,187,1011,20,7,16,0,8,12,9,8,20,19,25,21,4,27,70,19,30,13,100,68,194,207,61,24,60530,1003,890,1001,239600
6038,06065040805,06,065,40805,4968,0,4968,4187,189,1308,1136,1164,196,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6039,06065040900,06,065,40900,13507,3927,13507,7868,681,1089,1820,2064,537,1024,3927,94,277,119,112,151,140,125,128,150,110,150,85,142,147,125,85,65,187,269,231,540,303,93,37,40670,3963,2788,548,146400
