,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
17,627,297,224,73,151,39,035,102500,39035102500,323,5,0,0,0,0,0,0,0,49500,457,257,18125,88,0,48,20,23,0,11,5,17,31,0,8,0,0,6,0
18,1756,1047,615,251,364,39,035,102600,39035102600,987,27,7,17,0,17,5,0,0,50300,455,611,20938,166,39,90,74,44,37,37,19,23,33,15,25,9,0,0,0
19,4298,2494,1436,667,769,39,035,102700,39035102700,2209,22,5,0,0,13,7,7,0,49400,505,1422,19729,350,187,183,101,99,128,102,68,23,37,79,48,5,0,6,6
20,2777,1394,885,380,505,39,035,102800,39035102800,1441,0,0,0,6,17,0,0,0,61200,438,899,22034,197,110,101,82,60,63,70,43,51,36,24,52,10,0,0,0
21,2366,1062,850,397,453,39,035,102900,39035102900,1345,27,5,0,0,41,9,0,0,59200,484,805,25636,140,72,79,97,91,51,42,25,19,65,63,39,17,0,5,0
22,1180,665,498,161,337,39,035,103100,39035103100,755,36,14,10,0,38,10,0,0,80000,442,541,27540,67,78,47,46,63,37,61,15,12,44,38,21,0,7,5,0
23,901,573,293,74,219,39,035,103200,39035103200,676,31,6,9,0,19,8,0,0,64600,370,316,22907,74,45,15,60,16,23,21,17,8,11,0,20,6,0,0,0
24,1187,176,555,7,548,39,035,103300,39035103300,551,34,0,0,6,0,0,10,6,0,191,517,8407,291,64,39,22,12,0,0,0,25,28,10,0,16,10,0,0
25,3418,1575,1256,473,783,39,035,103400,39035103400,2042,64,49,9,0,79,54,7,0,63900,474,1268,25133,230,177,111,111,146,98,84,40,19,109,72,30,23,14,4,0
26,2205,1146,895,337,558,39,035,103500,39035103500,1271,73,37,6,5,136,28,3,0,80900,475,855,21250,214,102,88,63,52,101,44,34,31,36,12,34,33,0,6,5
